Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Referee
11/08/17,Arsenal,Leicester,4,3,H,M Dean
12/08/17,Brighton,Man City,0,2,A,M Oliver
12/08/17,Chelsea,Burnley,2,3,A,C Pawson
12/08/17,Crystal Palace,Huddersfield,0,3,A,J Moss
12/08/17,Everton,Stoke,1,0,H,N Swarbrick
12/08/17,Southampton,Swansea,0,0,D,M Jones
12/08/17,Watford,Liverpool,3,3,D,A Taylor
12/08/17,West Brom,Bournemouth,1,0,H,R Madley
13/08/17,Man United,West Ham,4,0,H,M Atkinson
13/08/17,Newcastle,Tottenham,0,2,A,A Marriner
19/08/17,Bournemouth,Watford,0,2,A,R East
19/08/17,Burnley,West Brom,0,1,A,M Atkinson
19/08/17,Leicester,Brighton,2,0,H,L Probert
19/08/17,Liverpool,Crystal Palace,1,0,H,K Friend
19/08/17,Southampton,West Ham,3,2,H,L Mason
19/08/17,Stoke,Arsenal,1,0,H,A Marriner
19/08/17,Swansea,Man United,0,4,A,J Moss
20/08/17,Huddersfield,Newcastle,1,0,H,C Pawson
20/08/17,Tottenham,Chelsea,1,2,A,A Taylor
21/08/17,Man City,Everton,1,1,D,R Madley
26/08/17,Bournemouth,Man City,1,2,A,M Dean
26/08/17,Crystal Palace,Swansea,0,2,A,A Marriner
26/08/17,Huddersfield,Southampton,0,0,D,S Attwell
26/08/17,Man United,Leicester,2,0,H,M Oliver
26/08/17,Newcastle,West Ham,3,0,H,N Swarbrick
26/08/17,Watford,Brighton,0,0,D,G Scott
27/08/17,Chelsea,Everton,2,0,H,J Moss
27/08/17,Liverpool,Arsenal,4,0,H,C Pawson
27/08/17,Tottenham,Burnley,1,1,D,L Mason
27/08/17,West Brom,Stoke,1,1,D,A Taylor
09/09/17,Arsenal,Bournemouth,3,0,H,A Taylor
09/09/17,Brighton,West Brom,3,1,H,C Kavanagh
09/09/17,Everton,Tottenham,0,3,A,G Scott
09/09/17,Leicester,Chelsea,1,2,A,L Mason
09/09/17,Man City,Liverpool,5,0,H,J Moss
09/09/17,Southampton,Watford,0,2,A,L Probert
09/09/17,Stoke,Man United,2,2,D,N Swarbrick
10/09/17,Burnley,Crystal Palace,1,0,H,M Oliver
10/09/17,Swansea,Newcastle,0,1,A,M Jones
11/09/17,West Ham,Huddersfield,2,0,H,K Friend
15/09/17,Bournemouth,Brighton,2,1,H,C Pawson
16/09/17,Crystal Palace,Southampton,0,1,A,R Madley
16/09/17,Huddersfield,Leicester,1,1,D,J Moss
16/09/17,Liverpool,Burnley,1,1,D,R East
16/09/17,Newcastle,Stoke,2,1,H,S Attwell
16/09/17,Tottenham,Swansea,0,0,D,M Dean
16/09/17,Watford,Man City,0,6,A,A Taylor
16/09/17,West Brom,West Ham,0,0,D,P Tierney
17/09/17,Chelsea,Arsenal,0,0,D,M Oliver
17/09/17,Man United,Everton,4,0,H,A Marriner
23/09/17,Burnley,Huddersfield,0,0,D,C Kavanagh
23/09/17,Everton,Bournemouth,2,1,H,M Atkinson
23/09/17,Leicester,Liverpool,2,3,A,A Taylor
23/09/17,Man City,Crystal Palace,5,0,H,N Swarbrick
23/09/17,Southampton,Man United,0,1,A,C Pawson
23/09/17,Stoke,Chelsea,0,4,A,M Dean
23/09/17,Swansea,Watford,1,2,A,L Mason
23/09/17,West Ham,Tottenham,2,3,A,M Oliver
24/09/17,Brighton,Newcastle,1,0,H,A Marriner
25/09/17,Arsenal,West Brom,2,0,H,R Madley
30/09/17,Bournemouth,Leicester,0,0,D,G Scott
30/09/17,Chelsea,Man City,0,1,A,M Atkinson
30/09/17,Huddersfield,Tottenham,0,4,A,N Swarbrick
30/09/17,Man United,Crystal Palace,4,0,H,M Dean
30/09/17,Stoke,Southampton,2,1,H,M Jones
30/09/17,West Brom,Watford,2,2,D,M Oliver
30/09/17,West Ham,Swansea,1,0,H,R East
01/10/17,Arsenal,Brighton,2,0,H,K Friend
01/10/17,Everton,Burnley,0,1,A,J Moss
01/10/17,Newcastle,Liverpool,1,1,D,C Pawson
14/10/17,Burnley,West Ham,1,1,D,S Attwell
14/10/17,Crystal Palace,Chelsea,2,1,H,A Marriner
14/10/17,Liverpool,Man United,0,0,D,M Atkinson
14/10/17,Man City,Stoke,7,2,H,C Pawson
14/10/17,Swansea,Huddersfield,2,0,H,P Tierney
14/10/17,Tottenham,Bournemouth,1,0,H,R Madley
14/10/17,Watford,Arsenal,2,1,H,N Swarbrick
15/10/17,Brighton,Everton,1,1,D,M Oliver
